Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
Dillon Brooks\brookdi01,SF,26,MEM,27,746,15.1,0.509,0.294,0.205,3.3,8.8,6,14.3,2.2,0.8,8.1,28.4,,0.5,0.8,1.3,0.085,,-1.4,-0.6,-2,0
Bruce Brown\brownbr01,SF,25,BRK,65,1549,14.4,0.56,0.174,0.239,6.5,14.9,10.8,10.7,2.2,2.1,8.4,14.6,,2.3,1.7,3.9,0.122,,-0.9,0.9,0.1,0.8
Charlie Brown Jr.\brownch02,SG,24,TOT,21,177,6.5,0.346,0.308,0.256,8.9,11.1,10,4.5,2.8,2,10.3,12.3,,-0.2,0.2,0,0.013,,-5.2,0.4,-4.8,-0.1
Charlie Brown Jr.\brownch02,SG,24,DAL,3,15,5.1,0.2,0.6,0,0,7.4,3.7,9,6.7,6,0,15,,-0.1,0,0,-0.049,,-7.7,5.1,-2.6,0
Charlie Brown Jr.\brownch02,SG,24,PHI,18,162,6.7,0.365,0.265,0.294,9.7,11.5,10.6,4.1,2.5,1.7,11.5,12.1,,-0.1,0.2,0.1,0.019,,-4.9,-0.1,-5,-0.1
Chaundee Brown Jr.\brownch05,SG-SF,23,TOT,5,104,6.5,0.447,0.563,0.188,1.1,15.7,8.4,5.1,0.9,0,2.8,14.9,,0,0,0,0.002,,-4.2,-2.4,-6.6,-0.1
Chaundee Brown Jr.\brownch05,SF,23,LAL,2,21,-8.7,0.143,0.429,0,0,10.2,5.1,0,0,0,12.5,16.4,,-0.1,0,-0.1,-0.304,,-11.5,-4.9,-16.4,-0.1
Chaundee Brown Jr.\brownch05,SG,23,ATL,3,83,10.4,0.525,0.6,0.24,1.3,17.1,9.2,6.4,1.2,0,0,14.6,,0.1,0,0.1,0.079,,-2.3,-1.7,-4.1,0
Greg Brown III\browngr01,SF,20,POR,41,467,11.3,0.479,0.255,0.379,7.9,17,12.3,7.3,2.2,4,11.5,17.7,,-0.1,0.4,0.3,0.031,,-4.3,-0.6,-4.9,-0.3
Jaylen Brown\brownja02,SF,25,BOS,59,1990,18.2,0.567,0.389,0.263,2.7,16.2,9.6,16.8,1.5,0.7,11.8,30.4,,1.6,3,4.6,0.112,,1.6,-0.1,1.5,1.7
Moses Brown\brownmo01,C,22,TOT,32,200,16.2,0.559,0,0.794,11.6,27.7,19.6,0.8,1.5,5,14.1,22.2,,0.1,0.4,0.5,0.116,,-4.4,-0.3,-4.7,-0.1
Moses Brown\brownmo01,C,22,DAL,26,169,15.6,0.588,0,0.86,10.4,29.6,19.9,0.9,0.9,4.8,16.9,22.1,,0.1,0.3,0.4,0.113,,-4.6,-0.2,-4.8,-0.1
Moses Brown\brownmo01,C,22,CLE,6,31,19.1,0.435,0,0.538,18.2,17.4,17.8,0,4.8,5.7,0,22.9,,0,0.1,0.1,0.131,,-3.4,-0.9,-4.2,0
Sterling Brown\brownst02,SG,26,DAL,48,614,8.3,0.492,0.597,0.101,4.6,21.6,13,7.7,1.1,1,12.9,13.1,,-0.1,0.8,0.8,0.06,,-3.4,0.4,-3,-0.2
Troy Brown Jr.\browntr01,SF,22,CHI,61,984,9.6,0.52,0.513,0.106,4.2,16.6,10.5,7.4,1.5,0.4,8.5,12.1,,0.5,0.8,1.3,0.063,,-1.9,-0.3,-2.2,0
Jalen Brunson\brunsja01,PG,25,DAL,71,2272,16.9,0.58,0.243,0.2,1.7,11.3,6.5,25.3,1.4,0.1,10.7,21.9,,4.1,2.4,6.5,0.138,,0.8,0.1,0.9,1.6
Thomas Bryant\bryanth01,C,24,WAS,23,398,17.7,0.617,0.283,0.29,7.3,18,12.7,8.9,0.7,3.8,10.4,19.4,,0.8,0.3,1.1,0.132,,0.1,-0.8,-0.7,0.1
Shaq Buchanan\buchash01,PG,25,MEM,2,10,0.7,0.25,0.5,0,10.2,10.6,10.4,24.9,4.8,0,33.3,24.6,,-0.1,0,0,-0.229,,-11.1,-0.1,-11.2,0
Reggie Bullock\bullore01,SF,30,DAL,60,1633,8.9,0.538,0.774,0.1,1.9,12.6,7.2,6.2,1.1,0.7,6.9,13.5,,0.7,1.8,2.5,0.073,,-1.8,0.1,-1.7,0.1
Trey Burke\burketr01,PG,29,DAL,38,414,10.4,0.486,0.389,0.113,1.1,7.3,4.1,20.1,1.3,0,10.9,26,,-0.3,0.4,0.1,0.007,,-3.2,-1.4,-4.6,-0.3
Alec Burks\burksal01,SG,30,NYK,73,2032,13.7,0.549,0.525,0.363,2.2,16.3,9.1,15.5,1.9,1.1,9.2,17.7,,2.7,2.4,5.2,0.122,,-0.5,1.2,0.7,1.4
